,sku,template,name,url,filename,position,is_main_image,description
0,99739196,Decor Products,"""Bolsa de Arroz Étnica""",https://demo.ui.smartie.io/medias/image/f567/99739196_1.jpg,99739196_1.jpg,1,True,"Tortitas de arroz sin sal añadida, veganas y sin gluten. Color: Celeste."
1,99739196,Decor Products,"""Bolsa de Arroz Étnica""",https://demo.ui.smartie.io/medias/image/7e76/99739196_2.jpg,99739196_2.jpg,2,False,"Tortitas de arroz integral de cultivo ecológico, sin sal añadida. Color: azul claro."
2,C-161260-Arena,Decoracion,Arena Retro Café,https://demo.ui.smartie.io/medias/image/2786/thera-retro-cafetera-express_4.webp,thera-retro-cafetera-express (4).webp,1,False,Portafiltro de café profesional con mango de madera. Color: plateado y madera.
3,C-161260-Arena,Decoracion,Arena Retro Café,https://demo.ui.smartie.io/medias/image/8804/thera-retro-cafetera-express_3.webp,thera-retro-cafetera-express (3).webp,2,False,"Cafetera espresso manual con vaporizador, compacta y fácil de usar. Color: crema claro."
4,C-161260-Arena,Decoracion,Arena Retro Café,https://demo.ui.smartie.io/medias/image/7b33/thera-retro-cafetera-express_2.webp,thera-retro-cafetera-express (2).webp,3,False,"Cafetera espresso con molinillo integrado, para café molido y en grano. Color: Beige claro."
5,C-161260-Arena,Decoracion,Arena Retro Café,https://demo.ui.smartie.io/medias/image/52f7/thera-retro-cafetera-express_1.webp,thera-retro-cafetera-express (1).webp,4,True,"Cafetera expreso vintage con vaporizador, dos tazas y presión de 15 bares. Color: beige."
6,C-161260-Azúl pastel,Decoracion,Cafetera Retro Azul,https://demo.ui.smartie.io/medias/image/63e1/thera-retro-cafetera-express-6.webp,thera-retro-cafetera-express-6.webp,1,False,Cafetera espresso y cappuccino con vaporizador. Color: azul claro.
7,C-161260-Azúl pastel,Decoracion,Cafetera Retro Azul,https://demo.ui.smartie.io/medias/image/1a48/thera-retro-cafetera-express-7.webp,thera-retro-cafetera-express-7.webp,2,False,Cafetera express semiautomática con vaporizador de leche y estilo vintage. Color: azul claro.
8,C-161260-Azúl pastel,Decoracion,Cafetera Retro Azul,https://demo.ui.smartie.io/medias/image/75e9/thera-retro-cafetera-express-5.webp,thera-retro-cafetera-express-5.webp,3,False,Cafetera espresso y cappuccino con vaporizador y diseño vintage. Color: Azul claro.
9,C-161260-Azúl pastel,Decoracion,Cafetera Retro Azul,https://demo.ui.smartie.io/medias/image/7996/thera-retro-cafetera-express-8.webp,thera-retro-cafetera-express-8.webp,4,False,"Cafetera express con vaporizador, temporizador y manómetro. Color: azul claro"
10,C-161260-Azúl pastel,Decoracion,Cafetera Retro Azul,https://demo.ui.smartie.io/medias/image/adda/thera-retro-cafetera-express-9.webp,thera-retro-cafetera-express-9.webp,5,True,"Cafetera express con manómetro, vaporizador y diseño vintage. Color: azul claro."
11,C-161260-Blanco roto,Decoracion,Cafetera EcoRetro - Blanco Crema,https://demo.ui.smartie.io/medias/image/5df4/thera-retro-cafetera-express-7.jpg,thera-retro-cafetera-express-7.jpg,1,False,"Cafetera expreso vintage con molinillo, presión 20 bar y vaporizador. Color: crema."
12,C-161260-Blanco roto,Decoracion,Cafetera EcoRetro - Blanco Crema,https://demo.ui.smartie.io/medias/image/efe5/thera-retro-cafetera-express-6.jpg,thera-retro-cafetera-express-6.jpg,2,True,"Cafetera espresso con vaporizador, manómetro y panel de control. Color: crema."
13,C-161260-Blanco roto,Decoracion,Cafetera EcoRetro - Blanco Crema,https://demo.ui.smartie.io/medias/image/10e0/thera-retro-cafetera-express-5.jpg,thera-retro-cafetera-express-5.jpg,3,False,Cafetera espresso vintage con manómetro y vaporizador. Color: blanco crema.
14,C-161260-Blanco roto,Decoracion,Cafetera EcoRetro - Blanco Crema,https://demo.ui.smartie.io/medias/image/00de/thera-retro-cafetera-express-4.jpg,thera-retro-cafetera-express-4.jpg,4,False,Cafetera express manual para preparar café en casa con molinillo integrado. Color: Crema.
15,C-161260-Blanco roto,Decoracion,Cafetera EcoRetro - Blanco Crema,https://demo.ui.smartie.io/medias/image/08fe/thera-retro-cafetera-express-3.jpg,thera-retro-cafetera-express-3.jpg,5,False,Cafetera espresso de bomba con vaporizador y portavasos. Color: crema.
16,C-161260-Negro,Decoracion,"Cafetera Express Thera	

",https://demo.ui.smartie.io/medias/image/a0c7/thera-retro-cafetera-express_3.jpg,thera-retro-cafetera-express (3).jpg,1,False,
17,C-161260-Negro,Decoracion,"Cafetera Express Thera	

",https://demo.ui.smartie.io/medias/image/d049/thera-retro-cafetera-express_2.jpg,thera-retro-cafetera-express (2).jpg,2,False,
18,C-161260-Negro,Decoracion,"Cafetera Express Thera	

",https://demo.ui.smartie.io/medias/image/2bf3/thera-retro-cafetera-express_5.jpg,thera-retro-cafetera-express (5).jpg,3,False,
19,C-161260-Negro,Decoracion,"Cafetera Express Thera	

",https://demo.ui.smartie.io/medias/image/d31b/thera-retro-cafetera-express.jpg,thera-retro-cafetera-express.jpg,4,False,
20,C-161260-Negro,Decoracion,"Cafetera Express Thera	

",https://demo.ui.smartie.io/medias/image/c8fc/thera-retro-cafetera-express_1.jpg,thera-retro-cafetera-express (1).jpg,5,False,
21,C-161260-Negro,Decoracion,"Cafetera Express Thera	

",https://demo.ui.smartie.io/medias/image/e96f/thera-retro-cafetera-express_6.jpg,thera-retro-cafetera-express (6).jpg,6,False,Portafiltro de café espresso con mango de madera para cafetera. Color: plateado y madera.
22,C-161260-Negro,Decoracion,"Cafetera Express Thera	

",https://demo.ui.smartie.io/medias/image/9e9c/thera-retro-cafetera-express_4.jpg,thera-retro-cafetera-express (4).jpg,7,True,
23,C-161260-Rojo,Decoracion,Cafetera EcoRetro Roja,https://demo.ui.smartie.io/medias/image/5242/thera-retro-cafetera-express-21.webp,thera-retro-cafetera-express-21.webp,1,False,Cafetera express compacta para preparar espressos y cappuccinos en casa. Color: rojo.
24,C-161260-Rojo,Decoracion,Cafetera EcoRetro Roja,https://demo.ui.smartie.io/medias/image/ab64/thera-retro-cafetera-express-19.webp,thera-retro-cafetera-express-19.webp,2,False,"Cafetera express manual con vaporizador, compacta y fácil de usar. Color: Rojo."
25,C-161260-Rojo,Decoracion,Cafetera EcoRetro Roja,https://demo.ui.smartie.io/medias/image/40e7/thera-retro-cafetera-express-22.webp,thera-retro-cafetera-express-22.webp,3,False,Cafetera express de bomba para café molido o monodosis. Color: rojo.
